rank,ticker,company_name,number_of_earnings_events,positive_7d_window_rate,average_change_7d_before_to_7d_after_pct,median_change_7d_before_to_7d_after_pct,average_change_earnings_to_7d_after_pct,average_eps_surprise_pct,best_7d_window_return_pct,worst_7d_window_return_pct,ranking_score,eps_beat_rate,average_return_on_eps_beat_pct,eps_beat_reaction_score
64,KE,"Kimball Electronics, Inc.",12,0.42,2.88,-2.87,0.89,14.5,43.79,-16.25,25.16,0.5,7.542925985924895,32.542925985924896
65,RMBS,"Rambus, Inc.",12,0.58,-0.44,4.72,-3.36,4.91,16.57,-34.69,29.22,0.5833333333333334,2.5762580241355324,31.7429246908022
66,DIOD,Diodes Incorporated,12,0.33,0.19,-2.3,1.67,6.56,23.68,-14.93,17.51,0.5,6.330475240688045,31.330475240688045
67,BZAI,"Blaize Holdings, Inc.",6,0.33,-3.11,-15.29,-1.78,-116.37,73.33,-37.61,1.92,0.5,6.077441748207003,31.077441748207004
68,MTSI,MACOM Technology Solutions Hold,12,0.75,6.59,6.33,1.11,-0.53,36.2,-8.56,44.04,0.5,4.115652205364971,29.11565220536497
69,PRSO,Peraso Inc.,12,0.33,-4.47,-1.16,-14.24,6.88,57.14,-35.36,12.89,0.5833333333333334,-0.6216824823807171,28.54498418428595
70,OUST,"Ouster, Inc.",12,0.83,22.54,18.42,18.75,-19.28,101.41,-28.6,62.27,0.4166666666666667,6.493588095478084,27.32692142881142
71,KOPN,Kopin Corporation,11,0.55,0.89,3.61,2.3,-15.83,43.37,-27.24,26.58,0.2727272727272727,13.452844657698272,27.089208294061905
72,CAN,Canaan Inc.,12,0.25,-7.8,-7.78,-5.36,-97.49,20.53,-26.98,-5.05,0.4166666666666667,5.946258348708491,26.779591682041826
73,COHU,"Cohu, Inc.",12,0.42,-1.25,-2.34,-2.0,-5.47,12.56,-23.29,19.03,0.5833333333333334,-4.005976022543593,25.160690644123076
74,PXLW,"Pixelworks, Inc.",12,0.5,-4.63,-1.36,-4.92,-9.03,24.42,-43.23,19.46,0.6666666666666666,-9.291035261630293,24.042298071703037
75,WATT,Energous Corporation,10,0.1,-17.24,-11.99,-13.2,17.5,10.44,-60.57,-10.49,0.8,-17.066909677550683,22.933090322449317
