ticker,company_name,earnings_date,eps_estimate,reported_eps,eps_surprise,eps_surprise_pct,price_7d_before_date,price_7d_before_adj_close,earnings_nearest_trading_date,earnings_nearest_adj_close,price_7d_after_date,price_7d_after_adj_close,change_7d_before_to_earnings_pct,change_earnings_to_7d_after_pct,change_7d_before_to_7d_after_pct,data_quality_notes
TYGO,"Tigo Energy, Inc.",2024-02-13,-0.2,-0.25,-0.05,-25.0,2024-02-06,1.4,2024-02-13,1.39,2024-02-20,1.46,-0.71,5.04,4.29,
TYGO,"Tigo Energy, Inc.",2023-11-07,-0.13,-0.13,0.0,0.0,2023-10-31,2.63,2023-11-07,2.26,2023-11-14,2.4,-14.07,6.19,-8.75,
TYGO,"Tigo Energy, Inc.",2023-08-08,0.2,0.08,-0.12,-60.0,2023-08-01,19.86,2023-08-08,21.3,2023-08-15,11.41,7.25,-46.43,-42.55,
VECO,Veeco Instruments Inc.,2026-05-05,0.23,0.14,-0.09,-39.13,2026-04-28,47.83,2026-05-05,49.54,2026-05-12,61.46,3.58,24.06,28.5,
VECO,Veeco Instruments Inc.,2026-02-25,0.26,0.24,-0.02,-7.69,2026-02-18,29.32,2026-02-25,28.46,2026-03-04,32.37,-2.93,13.74,10.4,
VECO,Veeco Instruments Inc.,2025-11-05,0.28,0.36,0.08,28.57,2025-10-29,29.33,2025-11-05,29.45,2025-11-12,30.34,0.41,3.02,3.44,
VECO,Veeco Instruments Inc.,2025-08-06,0.08,0.2,0.12,150.0,2025-07-30,21.75,2025-08-06,19.94,2025-08-13,24.91,-8.32,24.92,14.53,
VECO,Veeco Instruments Inc.,2025-05-07,0.32,0.37,0.05,15.62,2025-04-30,18.7,2025-05-07,18.89,2025-05-14,21.36,1.02,13.08,14.22,
VECO,Veeco Instruments Inc.,2025-02-12,0.4,0.41,0.01,2.5,2025-02-05,25.99,2025-02-12,23.65,2025-02-19,24.88,-9.0,5.2,-4.27,
VECO,Veeco Instruments Inc.,2024-11-06,0.45,0.46,0.01,2.22,2024-10-30,29.97,2024-11-06,30.1,2024-11-13,27.3,0.43,-9.3,-8.91,
